id,title,page
2.2.30,"Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE, RESTRICTED SERVICES\PrintSpoolerService' (Automated)",122
2.2.31,"Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE, RESTRICTED SERVICES\PrintSpoolerService' (DC only) (Automated)",124
2.2.32,"Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE, RESTRICTED SERVICES\PrintSpoolerService' (MS only) (Automated)",126
2.2.33,"Ensure 'Increase scheduling priority' is set to 'Administrators, Window Manager\Window Manager Group' (Automated)",128
2.2.34,Ensure 'Load and unload device drivers' is set to 'Administrators' (Automated),130
2.2.35,Ensure 'Lock pages in memory' is set to 'No One' (Automated),132
2.2.36,Ensure 'Log on as a batch job' is set to 'Administrators' (DC Only) (Automated),134
2.2.37,Ensure 'Manage auditing and security log' is set to 'Administrators' (DC only) (Automated),136
2.2.38,Ensure 'Manage auditing and security log' is set to 'Administrators' (MS only) (Automated),138
2.2.39,Ensure 'Modify an object label' is set to 'No One' (Automated),140
2.2.40,Ensure 'Modify firmware environment values' is set to 'Administrators' (Automated) . 142,
2.2.41,Ensure 'Perform volume maintenance tasks' is set to 'Administrators' (Automated) .. 144,
2.2.42,Ensure 'Profile single process' is set to 'Administrators' (Automated),146
2.2.43,"Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\WdiServiceHost' (Automated)",148
2.2.44,"Ensure 'Replace a process level token' is set to 'LOCAL SERVICE, NETWORK SERVICE' (Automated)",150
2.2.45,Ensure 'Restore files and directories' is set to 'Administrators' (Automated),152
2.2.46,Ensure 'Shut down the system' is set to 'Administrators' (Automated),154
2.2.47,Ensure 'Synchronize directory service data' is set to 'No One' (DC only) (Automated),156
2.2.48,Ensure 'Take ownership of files or other objects' is set to 'Administrators' (Automated),158
2.3,Security Options,160
2.3.1,Accounts,161
2.3.1.1,Ensure 'Accounts: Guest account status' is set to 'Disabled' (MS only) (Automated) 162,
2.3.1.2,Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled' (Automated),164
2.3.1.3,Configure 'Accounts: Rename administrator account' (Automated),166
2.3.1.4,Configure 'Accounts: Rename guest account' (Automated),168
2.3.2,Audit,170
2.3.2.1,Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled' (Automated),171
2.3.2.2,Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled' (Automated),173
2.3.3,DCOM,175
2.3.4,Devices,176
2.3.4.1,Ensure 'Devices: Prevent users from installing printer drivers' is set to 'Enabled' (Automated),177
2.3.5,Domain controller,179
2.3.5.1,Ensure 'Domain controller: Allow server operators to schedule tasks' is set to 'Disabled' (DC only) (Automated),180
2.3.5.2,Ensure 'Domain controller: Allow vulnerable Netlogon secure channel connections' is set to 'Not Configured' (DC Only) (Automated),182
2.3.5.3,Ensure 'Domain controller: LDAP server channel binding token requirements' is set to 'Always' (DC Only) (Automated),184
2.3.5.4,Ensure 'Domain controller: LDAP server signing requirements Enforcement' is set to 'Enabled' (DC only) (Automated),187
2.3.5.5,Ensure 'Domain controller: Refuse machine account password changes' is set to 'Disabled' (DC only) (Automated),189
2.3.6,Domain member,191
2.3.6.1,Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled' (Automated),192
2.3.6.2,Ensure 'Domain member: Digitally encrypt secure channel data (when possible)' is set to 'Enabled' (Automated),195
2.3.6.3,Ensure 'Domain member: Digitally sign secure channel data (when possible)' is set to 'Enabled' (Automated),197
2.3.6.4,Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled' (Automated),199
2.3.6.5,"Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days, but not 0' (Automated)",201
2.3.6.6,Ensure 'Domain member: Require strong (Windows 2000 or later) session key' is set to 'Enabled' (Automated),203
2.3.7,Interactive logon,205
2.3.7.1,Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled' (Automated),206
2.3.7.2,Ensure 'Interactive logon: Don't display last signed-in' is set to 'Enabled' (Automated),208
2.3.7.3,"Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0' (Automated)",210
2.3.7.4,Configure 'Interactive logon: Message text for users attempting to log on' (Automated),212
2.3.7.5,Configure 'Interactive logon: Message title for users attempting to log on' (Automated),214
2.3.7.6,Ensure 'Interactive logon: Number of previous logons to cache (in case domain controller is not available)' is set to '4 or fewer logon(s)' (MS only) (Automated),216
2.3.7.7,Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days' (Automated),218
2.3.7.8,Ensure 'Interactive logon: Require Domain Controller Authentication to unlock workstation' is set to 'Enabled' (MS only) (Automated),220
2.3.7.9,Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher (Automated),222
2.3.8,Microsoft network client,224
2.3.8.1,Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled' (Automated),225
2.3.8.2,Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled' (Automated),227
2.3.9,Microsoft network server,229
2.3.9.1,Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)' (Automated),230
2.3.9.2,Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled' (Automated),232
2.3.9.3,Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled' (Automated),234
2.3.9.4,Ensure 'Microsoft network server: Server SPN target name validation level' is set to 'Accept if provided by client' or higher (MS only) (Automated),236
2.3.10,Network access,238
2.3.10.1,Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled' (Automated),239
2.3.10.2,Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled' (MS only) (Automated),241
2.3.10.3,Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled' (MS only) (Automated),243
2.3.10.4,Ensure 'Network access: Do not allow storage of passwords and credentials for network authentication' is set to 'Enabled' (Automated),245
2.3.10.5,Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled' (Automated),247
2.3.10.6,Ensure 'Network access: Named Pipes that can be accessed anonymously' is configured (DC only) (Automated),249
2.3.10.7,Ensure 'Network access: Named Pipes that can be accessed anonymously' is configured (MS only) (Automated),251
2.3.10.8,Ensure 'Network access: Remotely accessible registry paths' is configured (Automated),253
2.3.10.9,Ensure 'Network access: Remotely accessible registry paths and sub-paths' is configured (Automated),255
2.3.10.10,Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled' (Automated),258
2.3.10.11,Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators: Remote Access: Allow' (MS only) (Automated),261
2.3.10.12,Ensure 'Network access: Shares that can be accessed anonymously' is set to 'None' (Automated),263
2.3.10.13,Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves' (Automated),265
2.3.11,Network security,267
2.3.11.1,Ensure 'Network security: Allow Local System to use computer identity for NTLM' is set to 'Enabled' (Automated),268
2.3.11.2,Ensure 'Network security: Allow LocalSystem NULL session fallback' is set to 'Disabled' (Automated),270
2.3.11.3,Ensure 'Network Security: Allow PKU2U authentication requests to this computer to use online identities' is set to 'Disabled' (Automated),272
2.3.11.4,"Ensure 'Network security: Configure encryption types allowed for Kerberos' is set to 'AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types' (Automated)",274
2.3.11.5,Ensure 'Network security: Force logoff when logon hours expire' is set to 'Enabled' (Manual),276
2.3.11.6,Ensure 'Network security: LAN Manager authentication level' is set to 'Send NTLMv2 response only. Refuse LM & NTLM' (Automated),278
2.3.11.7,Ensure 'Network security: LDAP client encryption requirements' is set to 'Negotiate sealing' or higher (Automated),281
2.3.11.8,Ensure 'Network security: LDAP client signing requirements' is set to 'Negotiate signing' or higher (Automated),283
2.3.11.9,"Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) clients' is set to 'Require NTLMv2 session security, Require 128-bit encryption' (Automated)",285
2.3.11.10,"Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) servers' is set to 'Require NTLMv2 session security, Require 128-bit encryption' (Automated)",287
2.3.11.11,Ensure 'Network security: Restrict NTLM: Audit Incoming NTLM Traffic' is set to 'Enable auditing for all accounts' (Automated),289
2.3.11.12,Ensure 'Network security: Restrict NTLM: Audit NTLM authentication in this domain' is set to 'Enable all' (DC only) (Automated),291
2.3.11.13,Ensure 'Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers' is set to 'Audit all' or higher (Automated),293
2.3.12,Recovery console,295
2.3.13,Shutdown,296
2.3.13.1,Ensure 'Shutdown: Allow system to be shut down without having to log on' is set to 'Disabled' (Automated),297
2.3.14,System cryptography,299
2.3.15,System objects,300
2.3.15.1,Ensure 'System objects: Require case insensitivity for non-Windows subsystems' is set to 'Enabled' (Automated),301
2.3.15.2,Ensure 'System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)' is set to 'Enabled' (Automated),303
2.3.16,System settings,305
2.3.17,User Account Control,306
2.3.17.1,Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled' (Automated),307
2.3.17.2,Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop' or higher (Automated),309
2.3.17.3,Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests' (Automated),311
2.3.17.4,Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled' (Automated),313
2.3.17.5,Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled' (Automated),315
2.3.17.6,Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled' (Automated),317
2.3.17.7,Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled' (Automated),319
2.3.17.8,Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled' (Automated),321
3,Event Log,323
4,Restricted Groups,323
5,System Services,324
5.1,Ensure 'Print Spooler (Spooler)' is set to 'Disabled' (DC only) (Automated),325
5.2,Ensure 'Print Spooler (Spooler)' is set to 'Disabled' (MS only) (Automated),327
6,Registry,329
7,File System,329
8,Wired Network (IEEE 802.3) Policies,329
9,Windows Defender Firewall with Advanced Security (formerly Windows Firewall with Advanced Security),329
9.1,Domain Profile,330
9.1.1,Ensure 'Windows Firewall: Domain: Firewall state' is set to 'On (recommended)' (Automated),331
9.1.2,Ensure 'Windows Firewall: Domain: Inbound connections' is set to 'Block (default)' (Automated),333
9.1.3,Ensure 'Windows Firewall: Domain: Settings: Display a notification' is set to 'No' (Automated),335
9.1.4,Ensure 'Windows Firewall: Domain: Logging: Name' is configured (Automated),337
9.1.5,"Ensure 'Windows Firewall: Domain: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",339
9.1.6,Ensure 'Windows Firewall: Domain: Logging: Log dropped packets' is set to 'Yes' (Automated),341
9.1.7,Ensure 'Windows Firewall: Domain: Logging: Log successful connections' is set to 'Yes' (Automated),343
9.2,Private Profile,345
9.2.1,Ensure 'Windows Firewall: Private: Firewall state' is set to 'On (recommended)' (Automated),346
9.2.2,Ensure 'Windows Firewall: Private: Inbound connections' is set to 'Block (default)' (Automated),348
9.2.3,Ensure 'Windows Firewall: Private: Settings: Display a notification' is set to 'No' (Automated),350
9.2.4,Ensure 'Windows Firewall: Private: Logging: Name' is configured (Automated),352
9.2.5,"Ensure 'Windows Firewall: Private: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",354
9.2.6,Ensure 'Windows Firewall: Private: Logging: Log dropped packets' is set to 'Yes' (Automated),356
9.2.7,Ensure 'Windows Firewall: Private: Logging: Log successful connections' is set to 'Yes' (Automated),358
9.3,Public Profile,360
9.3.1,Ensure 'Windows Firewall: Public: Firewall state' is set to 'On (recommended)' (Automated),361
9.3.2,Ensure 'Windows Firewall: Public: Inbound connections' is set to 'Block (default)' (Automated),363
9.3.3,Ensure 'Windows Firewall: Public: Settings: Display a notification' is set to 'No' (Automated),365
9.3.4,Ensure 'Windows Firewall: Public: Settings: Apply local firewall rules' is set to 'No' (Automated),367
9.3.5,Ensure 'Windows Firewall: Public: Settings: Apply local connection security rules' is set to 'No' (Automated),369
9.3.6,Ensure 'Windows Firewall: Public: Logging: Name' is configured (Automated),371
9.3.7,"Ensure 'Windows Firewall: Public: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",373
9.3.8,Ensure 'Windows Firewall: Public: Logging: Log dropped packets' is set to 'Yes' (Automated),375
9.3.9,Ensure 'Windows Firewall: Public: Logging: Log successful connections' is set to 'Yes' (Automated),377
10,Network List Manager Policies,379
11,Wireless Network (IEEE 802.11) Policies,379
12,Public Key Policies,379
13,Software Restriction Policies,379
14,Network Access Protection NAP Client Configuration,379
15,Application Control Policies,379
16,IP Security Policies,379
17,Advanced Audit Policy Configuration,379
17.1,Account Logon,380
17.1.1,Ensure 'Audit Credential Validation' is set to 'Success and Failure' (Automated),381
17.1.2,Ensure 'Audit Kerberos Authentication Service' is set to 'Success and Failure' (DC Only) (Automated),383
17.1.3,Ensure 'Audit Kerberos Service Ticket Operations' is set to 'Success and Failure' (DC Only) (Automated),385
17.2,Account Management,387
17.2.1,Ensure 'Audit Application Group Management' is set to 'Success and Failure' (Automated),388
17.2.2,Ensure 'Audit Computer Account Management' is set to include 'Success' (DC only) (Automated),390
17.2.3,Ensure 'Audit Distribution Group Management' is set to include 'Success' (DC only) (Automated),392
17.2.4,Ensure 'Audit Other Account Management Events' is set to include 'Success' (DC only) (Automated),394
17.2.5,Ensure 'Audit Security Group Management' is set to include 'Success' (Automated) . 396,
17.2.6,Ensure 'Audit User Account Management' is set to 'Success and Failure' (Automated),398
17.3,Detailed Tracking,400
17.3.1,Ensure 'Audit PNP Activity' is set to include 'Success' (Automated),401
17.3.2,Ensure 'Audit Process Creation' is set to include 'Success' (Automated),403
17.4,DS Access,405
17.4.1,Ensure 'Audit Directory Service Access' is set to include 'Failure' (DC only) (Automated),406
17.4.2,Ensure 'Audit Directory Service Changes' is set to include 'Success' (DC only) (Automated),408
17.5,Logon/Logoff,410
17.5.1,Ensure 'Audit Account Lockout' is set to include 'Failure' (Automated),411
17.5.2,Ensure 'Audit Group Membership' is set to include 'Success' (Automated),413
17.5.3,Ensure 'Audit Logoff' is set to include 'Success' (Automated),415
17.5.4,Ensure 'Audit Logon' is set to 'Success and Failure' (Automated),417
17.5.5,Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure' (Automated),419
17.5.6,Ensure 'Audit Special Logon' is set to include 'Success' (Automated),421
17.6,Object Access,423
17.6.1,Ensure 'Audit Detailed File Share' is set to include 'Failure' (Automated),424
17.6.2,Ensure 'Audit File Share' is set to 'Success and Failure' (Automated),426
17.6.3,Ensure 'Audit Other Object Access Events' is set to 'Success and Failure' (Automated),428
17.6.4,Ensure 'Audit Removable Storage' is set to 'Success and Failure' (Automated),430
17.7,Policy Change,432
17.7.1,Ensure 'Audit Audit Policy Change' is set to include 'Success' (Automated),433
17.7.2,Ensure 'Audit Authentication Policy Change' is set to include 'Success' (Automated) 435,
17.7.3,Ensure 'Audit Authorization Policy Change' is set to include 'Success' (Automated) . 437,
17.7.4,Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure' (Automated),439
17.7.5,Ensure 'Audit Other Policy Change Events' is set to include 'Failure' (Automated),442
17.8,Privilege Use,444
17.8.1,Ensure 'Audit Sensitive Privilege Use' is set to 'Success' (Automated),445
17.9,System,447
17.9.1,Ensure 'Audit IPsec Driver' is set to 'Success and Failure' (Automated),448
17.9.2,Ensure 'Audit Other System Events' is set to 'Success and Failure' (Automated),451
17.9.3,Ensure 'Audit Security State Change' is set to include 'Success' (Automated),453
17.9.4,Ensure 'Audit Security System Extension' is set to include 'Success' (Automated),455
17.9.5,Ensure 'Audit System Integrity' is set to 'Success and Failure' (Automated),457
18,Administrative Templates (Computer),459
18.1,Control Panel,459
18.1.1,Personalization,460
18.1.1.1,Ensure 'Prevent enabling lock screen camera' is set to 'Enabled' (Automated),461
18.1.1.2,Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled' (Automated) .. 463,
18.1.2,Regional and Language Options,465
18.1.2.1,Handwriting personalization,466
18.1.2.2,Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled' (Automated),467
18.1.3,Ensure 'Allow Online Tips' is set to 'Disabled' (Automated),469
18.2,Desktop,471
18.3,LAPS (legacy),471
18.4,MS Security Guide,472
18.4.1,Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled' (MS only) (Automated),473
18.4.2,Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)' (Automated),475
18.4.3,Ensure 'Configure SMB v1 server' is set to 'Disabled' (Automated),477
18.4.4,Ensure 'Enable Certificate Padding' is set to 'Enabled' (Automated),479
18.4.5,Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled' (Automated),482
18.4.6,Ensure 'NetBT NodeType configuration' is set to 'Enabled: P-node (recommended)' (Automated),484
18.5,MSS (Legacy),486
18.5.1,Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon' is set to 'Disabled' (Automated),487
18.5.2,"Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",489
18.5.3,"Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",491
18.5.4,Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled' (Automated),493
18.5.5,"Ensure 'MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds' is set to 'Enabled: 300,000 or 5 minutes' (Automated)",495
18.5.6,Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled' (Automated),497
18.5.7,Ensure 'MSS: (PerformRouterDiscovery) Allow IRDP to detect and configure Default Gateway addresses' is set to 'Disabled' (Automated),499
18.5.8,Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode' is set to 'Enabled' (Automated),501
18.5.9,Ensure 'MSS: (TcpMaxDataRetransmissions IPv6) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3' (Automated),503
18.5.10,Ensure 'MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3' (Automated),505
18.5.11,Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less' (Automated),507
18.6,Network,509
18.6.1,Background Intelligent Transfer Service (BITS),509
18.6.2,BranchCache,509
18.6.3,DirectAccess Client Experience Settings,509
18.6.4,DNS Client,510
18.6.4.1,Ensure 'Configure multicast DNS (mDNS) protocol' is set to 'Disabled' (Automated),511
18.6.4.2,Ensure 'Configure NetBIOS settings' is set to 'Enabled: Disable NetBIOS name resolution on public networks' (Automated),513
18.6.4.3,Ensure 'Turn off default IPv6 DNS Servers' is set to 'Enabled' (Automated),515
18.6.4.4,Ensure 'Turn off multicast name resolution' is set to 'Enabled' (Automated),517
18.6.5,Fonts,519
18.6.5.1,Ensure 'Enable Font Providers' is set to 'Disabled' (Automated),520
18.6.6,Hotspot Authentication,522
18.6.7,Lanman Server,523
18.6.7.1,Ensure 'Audit client does not support encryption' is set to 'Enabled' (Automated),524
18.6.7.2,Ensure 'Audit client does not support signing' is set to 'Enabled' (Automated),526
18.6.7.3,Ensure 'Audit insecure guest logon' is set to 'Enabled' (Automated),528
18.6.7.4,Ensure 'Enable authentication rate limiter' is set to 'Enabled' (Automated),530
18.6.7.5,Ensure 'Enable remote mailslots' is set to 'Disabled' (Automated),532
18.6.7.6,Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1' (Automated),534
18.6.7.7,Ensure 'Set authentication rate limiter delay (milliseconds)' is set to 'Enabled: 2000' or more (Automated),536
18.6.8,Lanman Workstation,538
18.6.8.1,Ensure 'Audit insecure guest logon' is set to 'Enabled' (Automated),539
18.6.8.2,Ensure 'Audit server does not support encryption' is set to 'Enabled' (Automated) . 541,
18.6.8.3,Ensure 'Audit server does not support signing' is set to 'Enabled' (Automated),543
18.6.8.4,Ensure 'Enable insecure guest logons' is set to 'Disabled' (Automated),545
18.6.8.5,Ensure 'Enable remote mailslots' is set to 'Disabled' (Automated),547
18.6.8.6,Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1' (Automated),549
18.6.8.7,Ensure 'Require Encryption' is set to 'Enabled' (Automated),551
18.6.9,Link-Layer Topology Discovery,553
18.6.9.1,Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled' (Automated),554
18.6.9.2,Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled' (Automated),556
18.6.10,Microsoft Peer-to-Peer Networking Services,558
18.6.10.1,Peer Name Resolution Protocol,559
18.6.10.2,Ensure 'Turn off Microsoft Peer-to-Peer Networking Services' is set to 'Enabled' (Automated),560
18.6.11,Network Connections,562
18.6.11.1,Windows Defender Firewall (formerly Windows Firewall),563
18.6.11.2,Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled' (Automated),564
18.6.11.3,Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled' (Automated),566
18.6.11.4,Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled' (Automated),568
18.6.12,Network Connectivity Status Indicator,570
18.6.13,Network Isolation,570
18.6.14,Network Provider,571
18.6.14.1,"Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and ""Require Privacy"" set for all NETLOGON and SYSVOL shares' (Automated)",572
18.6.15,Offline Files,575
18.6.16,QoS Packet Scheduler,575
18.6.17,SNMP,575
18.6.18,SSL Configuration Settings,575
18.6.19,TCPIP Settings,575
18.6.19.1,IPv6 Transition Technologies,576
18.6.19.2,Parameters,577
18.6.19.2.1,Disable IPv6 (Ensure TCPIP6 Parameter 'DisabledComponents' is set to '0xff (255)') (Automated),578
18.6.20,Windows Connect Now,580
18.6.20.1,Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled' (Automated),581
18.6.20.2,Ensure 'Prohibit access of the Windows Connect Now wizards' is set to 'Enabled' (Automated),583
18.6.21,Windows Connection Manager,585
18.6.21.1,Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' is set to 'Enabled: 3 = Prevent Wi-Fi when on Ethernet' (Automated),586
18.6.21.2,Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' is set to 'Enabled' (MS only) (Automated),588
18.7,Printers,590
18.7.1,Ensure 'Allow Print Spooler to accept client connections' is set to 'Disabled' (Automated),591
18.7.2,Ensure 'Configure Redirection Guard' is set to 'Enabled: Redirection Guard Enabled' (Automated),593
18.7.3,Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' is set to 'Enabled: RPC over TCP' (Automated),595
18.7.4,Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' is set to 'Enabled: Default' (Automated),597
18.7.5,Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' is set to 'Enabled: RPC over TCP' (Automated),599
18.7.6,Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' is set to 'Enabled: Negotiate' or higher (Automated),601
18.7.7,Ensure 'Configure RPC over TCP port' is set to 'Enabled: 0' (Automated),603
