control_id,title,page,chapter,profile_scope,status_impl,status_tested,status_validated,notes
2.2.3,"Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users' (MS only) (Automated)",67,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.4,Ensure 'Act as part of the operating system' is set to 'No One' (Automated),69,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.5,Ensure 'Add workstations to domain' is set to 'Administrators' (DC only) (Automated) .. 71,,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.6,"Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE' (Automated)",73,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.7,"Ensure 'Allow log on locally' is set to 'Administrators, ENTERPRISE DOMAIN CONTROLLERS' (DC only) (Automated)",75,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.8,Ensure 'Allow log on locally' is set to 'Administrators' (MS only) (Automated),77,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.9,Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators' (DC only) (Automated),79,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.10,"Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users' (MS only) (Automated)",81,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.11,Ensure 'Back up files and directories' is set to 'Administrators' (Automated),83,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.12,"Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE' (Automated)",85,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.13,Ensure 'Create a pagefile' is set to 'Administrators' (Automated),88,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.14,Ensure 'Create a token object' is set to 'No One' (Automated),90,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.15,"Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (Automated)",92,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.16,Ensure 'Create permanent shared objects' is set to 'No One' (Automated),94,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.17,Ensure 'Create symbolic links' is set to 'Administrators' (DC only) (Automated),96,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.18,"Ensure 'Create symbolic links' is set to 'Administrators, NT VIRTUAL MACHINE\Virtual Machines' (MS only) (Automated)",98,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.19,Ensure 'Debug programs' is set to 'Administrators' (Automated),100,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.20,Ensure 'Deny access to this computer from the network' to include 'Guests' (DC only) (Automated),102,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.21,"Ensure 'Deny access to this computer from the network' to include 'Guests, Local account and member of Administrators group' (MS only) (Automated)",104,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.22,Ensure 'Deny log on as a batch job' to include 'Guests' (Automated),106,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.23,Ensure 'Deny log on as a service' to include 'Guests' (Automated),108,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.24,Ensure 'Deny log on locally' to include 'Guests' (Automated),110,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.25,Ensure 'Deny log on through Remote Desktop Services' to include 'Guests' (DC only) (Automated),112,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.26,"Ensure 'Deny log on through Remote Desktop Services' is set to 'Guests, Local account' (MS only) (Automated)",114,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.27,Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'Administrators' (DC only) (Automated),116,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.28,Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'No One' (MS only) (Automated),118,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.29,Ensure 'Force shutdown from a remote system' is set to 'Administrators' (Automated),120,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.30,"Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE, RESTRICTED SERVICES\PrintSpoolerService' (Automated)",122,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.31,"Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE, RESTRICTED SERVICES\PrintSpoolerService' (DC only) (Automated)",124,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.32,"Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE, RESTRICTED SERVICES\PrintSpoolerService' (MS only) (Automated)",126,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.33,"Ensure 'Increase scheduling priority' is set to 'Administrators, Window Manager\Window Manager Group' (Automated)",128,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.34,Ensure 'Load and unload device drivers' is set to 'Administrators' (Automated),130,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.35,Ensure 'Lock pages in memory' is set to 'No One' (Automated),132,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.36,Ensure 'Log on as a batch job' is set to 'Administrators' (DC Only) (Automated),134,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.37,Ensure 'Manage auditing and security log' is set to 'Administrators' (DC only) (Automated),136,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.38,Ensure 'Manage auditing and security log' is set to 'Administrators' (MS only) (Automated),138,2,MS only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.39,Ensure 'Modify an object label' is set to 'No One' (Automated),140,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.40,Ensure 'Modify firmware environment values' is set to 'Administrators' (Automated) . 142,,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.41,Ensure 'Perform volume maintenance tasks' is set to 'Administrators' (Automated) .. 144,,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.42,Ensure 'Profile single process' is set to 'Administrators' (Automated),146,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.43,"Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\WdiServiceHost' (Automated)",148,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.44,"Ensure 'Replace a process level token' is set to 'LOCAL SERVICE, NETWORK SERVICE' (Automated)",150,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.45,Ensure 'Restore files and directories' is set to 'Administrators' (Automated),152,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.46,Ensure 'Shut down the system' is set to 'Administrators' (Automated),154,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.47,Ensure 'Synchronize directory service data' is set to 'No One' (DC only) (Automated),156,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.48,Ensure 'Take ownership of files or other objects' is set to 'Administrators' (Automated),158,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.3.1.1,Ensure 'Accounts: Guest account status' is set to 'Disabled' (MS only) (Automated) 162,,2,MS only,,,,
2.3.1.2,Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled' (Automated),164,2,All,,,,
2.3.1.3,Configure 'Accounts: Rename administrator account' (Automated),166,2,All,,,,
2.3.1.4,Configure 'Accounts: Rename guest account' (Automated),168,2,All,,,,
2.3.2.1,Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled' (Automated),171,2,All,,,,
2.3.2.2,Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled' (Automated),173,2,All,,,,
2.3.4.1,Ensure 'Devices: Prevent users from installing printer drivers' is set to 'Enabled' (Automated),177,2,All,,,,
2.3.5.1,Ensure 'Domain controller: Allow server operators to schedule tasks' is set to 'Disabled' (DC only) (Automated),180,2,DC only,,,,
2.3.5.2,Ensure 'Domain controller: Allow vulnerable Netlogon secure channel connections' is set to 'Not Configured' (DC Only) (Automated),182,2,All,,,,
2.3.5.3,Ensure 'Domain controller: LDAP server channel binding token requirements' is set to 'Always' (DC Only) (Automated),184,2,All,,,,
2.3.5.4,Ensure 'Domain controller: LDAP server signing requirements Enforcement' is set to 'Enabled' (DC only) (Automated),187,2,DC only,,,,
2.3.5.5,Ensure 'Domain controller: Refuse machine account password changes' is set to 'Disabled' (DC only) (Automated),189,2,DC only,,,,
2.3.6.1,Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled' (Automated),192,2,All,,,,
2.3.6.2,Ensure 'Domain member: Digitally encrypt secure channel data (when possible)' is set to 'Enabled' (Automated),195,2,All,,,,
2.3.6.3,Ensure 'Domain member: Digitally sign secure channel data (when possible)' is set to 'Enabled' (Automated),197,2,All,,,,
2.3.6.4,Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled' (Automated),199,2,All,,,,
2.3.6.5,"Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days, but not 0' (Automated)",201,2,All,,,,
2.3.6.6,Ensure 'Domain member: Require strong (Windows 2000 or later) session key' is set to 'Enabled' (Automated),203,2,All,,,,
2.3.7.1,Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled' (Automated),206,2,All,,,,
2.3.7.2,Ensure 'Interactive logon: Don't display last signed-in' is set to 'Enabled' (Automated),208,2,All,,,,
2.3.7.3,"Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0' (Automated)",210,2,All,,,,
2.3.7.4,Configure 'Interactive logon: Message text for users attempting to log on' (Automated),212,2,All,,,,
2.3.7.5,Configure 'Interactive logon: Message title for users attempting to log on' (Automated),214,2,All,,,,
2.3.7.6,Ensure 'Interactive logon: Number of previous logons to cache (in case domain controller is not available)' is set to '4 or fewer logon(s)' (MS only) (Automated),216,2,MS only,,,,
2.3.7.7,Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days' (Automated),218,2,All,,,,
2.3.7.8,Ensure 'Interactive logon: Require Domain Controller Authentication to unlock workstation' is set to 'Enabled' (MS only) (Automated),220,2,MS only,,,,
2.3.7.9,Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher (Automated),222,2,All,,,,
2.3.8.1,Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled' (Automated),225,2,All,,,,
2.3.8.2,Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled' (Automated),227,2,All,,,,
2.3.9.1,Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)' (Automated),230,2,All,,,,
2.3.9.2,Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled' (Automated),232,2,All,,,,
2.3.9.3,Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled' (Automated),234,2,All,,,,
2.3.9.4,Ensure 'Microsoft network server: Server SPN target name validation level' is set to 'Accept if provided by client' or higher (MS only) (Automated),236,2,MS only,,,,
2.3.10.1,Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled' (Automated),239,2,All,,,,
2.3.10.2,Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled' (MS only) (Automated),241,2,MS only,,,,
2.3.10.3,Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled' (MS only) (Automated),243,2,MS only,,,,
2.3.10.4,Ensure 'Network access: Do not allow storage of passwords and credentials for network authentication' is set to 'Enabled' (Automated),245,2,All,,,,
2.3.10.5,Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled' (Automated),247,2,All,,,,
2.3.10.6,Ensure 'Network access: Named Pipes that can be accessed anonymously' is configured (DC only) (Automated),249,2,DC only,,,,
2.3.10.7,Ensure 'Network access: Named Pipes that can be accessed anonymously' is configured (MS only) (Automated),251,2,MS only,,,,
2.3.10.8,Ensure 'Network access: Remotely accessible registry paths' is configured (Automated),253,2,All,,,,
2.3.10.9,Ensure 'Network access: Remotely accessible registry paths and sub-paths' is configured (Automated),255,2,All,,,,
2.3.10.10,Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled' (Automated),258,2,All,,,,
2.3.10.11,Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators: Remote Access: Allow' (MS only) (Automated),261,2,MS only,,,,
2.3.10.12,Ensure 'Network access: Shares that can be accessed anonymously' is set to 'None' (Automated),263,2,All,,,,
2.3.10.13,Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves' (Automated),265,2,All,,,,
2.3.11.1,Ensure 'Network security: Allow Local System to use computer identity for NTLM' is set to 'Enabled' (Automated),268,2,All,,,,
2.3.11.2,Ensure 'Network security: Allow LocalSystem NULL session fallback' is set to 'Disabled' (Automated),270,2,All,,,,
2.3.11.3,Ensure 'Network Security: Allow PKU2U authentication requests to this computer to use online identities' is set to 'Disabled' (Automated),272,2,All,,,,
2.3.11.4,"Ensure 'Network security: Configure encryption types allowed for Kerberos' is set to 'AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types' (Automated)",274,2,All,,,,
2.3.11.5,Ensure 'Network security: Force logoff when logon hours expire' is set to 'Enabled' (Manual),276,2,All,,,,
2.3.11.6,Ensure 'Network security: LAN Manager authentication level' is set to 'Send NTLMv2 response only. Refuse LM & NTLM' (Automated),278,2,All,,,,
2.3.11.7,Ensure 'Network security: LDAP client encryption requirements' is set to 'Negotiate sealing' or higher (Automated),281,2,All,,,,
2.3.11.8,Ensure 'Network security: LDAP client signing requirements' is set to 'Negotiate signing' or higher (Automated),283,2,All,,,,
2.3.11.9,"Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) clients' is set to 'Require NTLMv2 session security, Require 128-bit encryption' (Automated)",285,2,All,,,,
2.3.11.10,"Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) servers' is set to 'Require NTLMv2 session security, Require 128-bit encryption' (Automated)",287,2,All,,,,
2.3.11.11,Ensure 'Network security: Restrict NTLM: Audit Incoming NTLM Traffic' is set to 'Enable auditing for all accounts' (Automated),289,2,All,,,,
2.3.11.12,Ensure 'Network security: Restrict NTLM: Audit NTLM authentication in this domain' is set to 'Enable all' (DC only) (Automated),291,2,DC only,,,,
2.3.11.13,Ensure 'Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers' is set to 'Audit all' or higher (Automated),293,2,All,,,,
2.3.13.1,Ensure 'Shutdown: Allow system to be shut down without having to log on' is set to 'Disabled' (Automated),297,2,All,,,,
2.3.15.1,Ensure 'System objects: Require case insensitivity for non-Windows subsystems' is set to 'Enabled' (Automated),301,2,All,,,,
2.3.15.2,Ensure 'System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)' is set to 'Enabled' (Automated),303,2,All,,,,
2.3.17.1,Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled' (Automated),307,2,All,,,,
2.3.17.2,Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop' or higher (Automated),309,2,All,,,,
2.3.17.3,Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests' (Automated),311,2,All,,,,
2.3.17.4,Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled' (Automated),313,2,All,,,,
2.3.17.5,Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled' (Automated),315,2,All,,,,
2.3.17.6,Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled' (Automated),317,2,All,,,,
2.3.17.7,Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled' (Automated),319,2,All,,,,
2.3.17.8,Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled' (Automated),321,2,All,,,,
5.1,Ensure 'Print Spooler (Spooler)' is set to 'Disabled' (DC only) (Automated),325,5,DC only,,,,
5.2,Ensure 'Print Spooler (Spooler)' is set to 'Disabled' (MS only) (Automated),327,5,MS only,,,,
9.1.1,Ensure 'Windows Firewall: Domain: Firewall state' is set to 'On (recommended)' (Automated),331,9,All,,,,
9.1.2,Ensure 'Windows Firewall: Domain: Inbound connections' is set to 'Block (default)' (Automated),333,9,All,,,,
9.1.3,Ensure 'Windows Firewall: Domain: Settings: Display a notification' is set to 'No' (Automated),335,9,All,,,,
9.1.4,Ensure 'Windows Firewall: Domain: Logging: Name' is configured (Automated),337,9,All,,,,
9.1.5,"Ensure 'Windows Firewall: Domain: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",339,9,All,,,,
9.1.6,Ensure 'Windows Firewall: Domain: Logging: Log dropped packets' is set to 'Yes' (Automated),341,9,All,,,,
9.1.7,Ensure 'Windows Firewall: Domain: Logging: Log successful connections' is set to 'Yes' (Automated),343,9,All,,,,
9.2.1,Ensure 'Windows Firewall: Private: Firewall state' is set to 'On (recommended)' (Automated),346,9,All,,,,
9.2.2,Ensure 'Windows Firewall: Private: Inbound connections' is set to 'Block (default)' (Automated),348,9,All,,,,
9.2.3,Ensure 'Windows Firewall: Private: Settings: Display a notification' is set to 'No' (Automated),350,9,All,,,,
9.2.4,Ensure 'Windows Firewall: Private: Logging: Name' is configured (Automated),352,9,All,,,,
9.2.5,"Ensure 'Windows Firewall: Private: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",354,9,All,,,,
9.2.6,Ensure 'Windows Firewall: Private: Logging: Log dropped packets' is set to 'Yes' (Automated),356,9,All,,,,
9.2.7,Ensure 'Windows Firewall: Private: Logging: Log successful connections' is set to 'Yes' (Automated),358,9,All,,,,
9.3.1,Ensure 'Windows Firewall: Public: Firewall state' is set to 'On (recommended)' (Automated),361,9,All,,,,
9.3.2,Ensure 'Windows Firewall: Public: Inbound connections' is set to 'Block (default)' (Automated),363,9,All,,,,
9.3.3,Ensure 'Windows Firewall: Public: Settings: Display a notification' is set to 'No' (Automated),365,9,All,,,,
9.3.4,Ensure 'Windows Firewall: Public: Settings: Apply local firewall rules' is set to 'No' (Automated),367,9,All,,,,
9.3.5,Ensure 'Windows Firewall: Public: Settings: Apply local connection security rules' is set to 'No' (Automated),369,9,All,,,,
9.3.6,Ensure 'Windows Firewall: Public: Logging: Name' is configured (Automated),371,9,All,,,,
9.3.7,"Ensure 'Windows Firewall: Public: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",373,9,All,,,,
9.3.8,Ensure 'Windows Firewall: Public: Logging: Log dropped packets' is set to 'Yes' (Automated),375,9,All,,,,
9.3.9,Ensure 'Windows Firewall: Public: Logging: Log successful connections' is set to 'Yes' (Automated),377,9,All,,,,
17.1.1,Ensure 'Audit Credential Validation' is set to 'Success and Failure' (Automated),381,17,All,,,,
17.1.2,Ensure 'Audit Kerberos Authentication Service' is set to 'Success and Failure' (DC Only) (Automated),383,17,All,,,,
17.1.3,Ensure 'Audit Kerberos Service Ticket Operations' is set to 'Success and Failure' (DC Only) (Automated),385,17,All,,,,
17.2.1,Ensure 'Audit Application Group Management' is set to 'Success and Failure' (Automated),388,17,All,,,,
17.2.2,Ensure 'Audit Computer Account Management' is set to include 'Success' (DC only) (Automated),390,17,DC only,,,,
17.2.3,Ensure 'Audit Distribution Group Management' is set to include 'Success' (DC only) (Automated),392,17,DC only,,,,
17.2.4,Ensure 'Audit Other Account Management Events' is set to include 'Success' (DC only) (Automated),394,17,DC only,,,,
17.2.5,Ensure 'Audit Security Group Management' is set to include 'Success' (Automated) . 396,,17,All,,,,
17.2.6,Ensure 'Audit User Account Management' is set to 'Success and Failure' (Automated),398,17,All,,,,
17.3.1,Ensure 'Audit PNP Activity' is set to include 'Success' (Automated),401,17,All,,,,
